year,mode_of_transport,travel_time,sex,count
2020,  Others,  46 - 60,all,126
2020,  No Transport Required,  46 - 60,all,120
2020,  Public Bus Only,  More Than 60,all,5078
2020,  MRT Only,  More Than 60,all,5374
2020,  MRT & Public Bus Only,  More Than 60,all,35657
2020,  Other combinations of MRT/LRT or Public Bus,  More Than 60,all,3199
2020,  Taxi Only,  More Than 60,all,19
2020,  Car Only,  More Than 60,all,112
2020,  Private Chartered Bus/Van Only,  More Than 60,all,1022
2020,  Lorry/Pickup Only,  More Than 60,all,0
2020,  Motorcycle/Scooter Only,  More Than 60,all,0
2020,  Others,  More Than 60,all,30
2020,  No Transport Required,  More Than 60,all,66
