year,mode_of_transport,education_level,sex,count
2020,  No Transport Required,Secondary,all,24935
2020,  Public Bus Only,Post-Secondary (Non-tertiary),all,14542
2020,  MRT/LRT Only,Post-Secondary (Non-tertiary),all,6255
2020,  MRT/LRT & Public Bus Only,Post-Secondary (Non-tertiary),all,24906
2020,  Other combinations of MRT/LRT or Public Bus,Post-Secondary (Non-tertiary),all,2873
2020,  Taxi/Private Hire Car Only,Post-Secondary (Non-tertiary),all,282
2020,  Car Only,Post-Secondary (Non-tertiary),all,4395
2020,  Private Chartered Bus/Van Only,Post-Secondary (Non-tertiary),all,461
2020,  Lorry/Pickup Only,Post-Secondary (Non-tertiary),all,0
2020,  Motorcycle/Scooter Only,Post-Secondary (Non-tertiary),all,514
2020,  Others,Post-Secondary (Non-tertiary),all,190
2020,  No Transport Required,Post-Secondary (Non-tertiary),all,1941
2020,  Public Bus Only,Polytechnic,all,17629
2020,  MRT/LRT Only,Polytechnic,all,11244
2020,  MRT/LRT & Public Bus Only,Polytechnic,all,36090
2020,  Other combinations of MRT/LRT or Public Bus,Polytechnic,all,2514
2020,  Taxi/Private Hire Car Only,Polytechnic,all,122
2020,  Car Only,Polytechnic,all,1241
2020,  Private Chartered Bus/Van Only,Polytechnic,all,75
2020,  Lorry/Pickup Only,Polytechnic,all,34
2020,  Motorcycle/Scooter Only,Polytechnic,all,730
2020,  Others,Polytechnic,all,131
2020,  No Transport Required,Polytechnic,all,2798
2020,  Public Bus Only,Professional Qualification And Other Diploma,all,2290
2020,  MRT/LRT Only,Professional Qualification And Other Diploma,all,1734
2020,  MRT/LRT & Public Bus Only,Professional Qualification And Other Diploma,all,5562
2020,  Other combinations of MRT/LRT or Public Bus,Professional Qualification And Other Diploma,all,373
2020,  Taxi/Private Hire Car Only,Professional Qualification And Other Diploma,all,91
2020,  Car Only,Professional Qualification And Other Diploma,all,308
2020,  Private Chartered Bus/Van Only,Professional Qualification And Other Diploma,all,16
2020,  Lorry/Pickup Only,Professional Qualification And Other Diploma,all,13
2020,  Motorcycle/Scooter Only,Professional Qualification And Other Diploma,all,124
2020,  Others,Professional Qualification And Other Diploma,all,22
2020,  No Transport Required,Professional Qualification And Other Diploma,all,845
2020,  Public Bus Only,University,all,13808
2020,  MRT/LRT Only,University,all,14837
2020,  MRT/LRT & Public Bus Only,University,all,51069
2020,  Other combinations of MRT/LRT or Public Bus,University,all,3728
2020,  Taxi/Private Hire Car Only,University,all,850
2020,  Car Only,University,all,4937
2020,  Private Chartered Bus/Van Only,University,all,283
2020,  Lorry/Pickup Only,University,all,0
2020,  Motorcycle/Scooter Only,University,all,909
2020,  Others,University,all,332
2020,  No Transport Required,University,all,9092
